"MapPointID","Value","Vernacular","MapID","BibleRef","Note"
"Text-cbpg01_cbBox0001",,,"cbpg01",,
"Text-cbpg01_cbBox0002",,,"cbpg01",,
"Text-cbpg01_cbBox0003",,,"cbpg01",,
"Text-cbpg01_cbBox0004",,,"cbpg01",,
"Text-cbpg01_cbBox0005",,,"cbpg01",,
"Text-cbpg01_cbBox0005",,,"cbpg01",,
"Text-cbpg01_cbBox0006",,,"cbpg01",,
"Text-cbpg01_cbBox0007",,,"cbpg01",,
"Text-cbpg01_cbBox0008",,,"cbpg01",,
"Text-cbpg01_cbBox0009",,,"cbpg01",,
"Text-cbpg03_cbBox0010","Everyone calls the preacher at the river John the Baptist...","De prediker bij de rivier wordt Johannes de Doper genoemd... ","cbpg03",,
"Text-cbpg03_cbBox0011","I’m not important. I’m preparing the way for Him who will show us who God is. He will baptise you in God’s Spirit and in God’s fire. That will completely change you!","Het gaat niet om mij. Ik bereid de komst voor van Iemand die zal laten zien wie God is. Hij zal je dopen met Gods Geest en met Gods vuur. Dat verandert je radicaal!","cbpg03",,
"Text-cbpg03_cbBox0012","And then...","En dan... ","cbpg03",,
"Text-cbpg03_cbBox0013","I should be baptised by You!","Ik zou door U gedoopt moeten worden!","cbpg03",,
"Text-cbpg03_cbBox0014","Just do it. Then we’ll be doing what God wants.","Doe nu maar. Op deze manier doen we wat God van ons verlangt.","cbpg03",,
"Text-cbpg03_cbBox0015","Father, that Your kingdom may come and Your will be done!","Vader, dat Uw koninkrijk zal komen en Uw wil zal gebeuren!","cbpg03",,
"Text-cbpg03_cbBox0016","Then a voice from heaven says...","Dan klinkt er een stem uit de hemel...","cbpg03",,
"Text-cbpg03_cbBox0017","Yes, You are My Son. I love You and I’m pleased with You.","JA! Jij bent Mijn Zoon van wie Ik zoveel houd! Jij bent de man van Mijn hart!","cbpg03",,
