"MapPointID","Value","Vernacular","MapID","BibleRef","Note"
"Title-m01_Main",,,"m01",,
"Title-m02_Main",,,"m02",,
"Title-m03_Main",,,"m03",,
"Title-m04_Main",,,"m04",,
"Title-m05_Main",,,"m05",,
"Title-m06_Main",,,"m06",,
"Title-m07_Main",,,"m07",,
"Title-m08_Main",,,"m08",,
"Title-m08a_Main","Paul’s First Missionary Journey",,"m08a",,
"Ref-m08a_Title","Acts 13:4–14:28",,"m08a",,
"Title-m08b_Main","Paul’s Second Missionary Journey",,"m08b",,
"Ref-m08b_Title","Acts 15:36–18:22",,"m08b",,
"Title-m08c_Main","Paul’s Third Missionary Journey",,"m08c",,
"Ref-m08c_Title","Acts 18:26–21:16",,"m08c",,
"Title-m08d_Main","Paul’s Fourth Missionary Journey",,"m08d",,"Main title for map m08d"
"Ref-m08d_Title","Acts 21:17–28:31",,"m08d",,"Reference for m08d title"
"Title-m10_Main",,,,,
"Title-m51_Main",,,,,
"Title-m52_Main",,,,,
"Title-m53_Main",,,,,
"Title-m54_Main",,,,,
,,,,,
"City_Adramyttium","Adramyttium",,"m08 m08d",,
"City_Alexandria","Alexandria",,"m08 m08d",,
"City_Amphipolis","Amphipolis",,"m08 m08b",,
"City_Antioch-A","Antioch",,"m08 m08a m08b",,
"City_Antioch-B","Antioch",,"m08 m08a",,
"City_Antipatris","Antipatris",,"m08d",,
"City_Apollonia","Apollonia",,"m08 m08b",,
"City_Assos","Assos",,"m08 m08c",,
"City_Athens","Athens",,"m08 m08b",,
"City_Attalia","Attalia",,"m08 m08a",,
"City_Berea","Berea",,"m08 m08b m08c",,
"City_Caesarea","Caesarea",,"m08 m08b m08c m08d",,
"City_Cnidus","Cnidus",,"m08 m08d",,
"City_Colossae","Colossae",,"m08",,
"City_Corinth","Corinth",,"m08 m08b m08c",,
"City_Damascus","Damascus",,"m08 m08d",,
"City_Derbe","Derbe",,"m08 m08a m08b m08c",,
"City_Ephesus","Ephesus",,"m08 m08b m08c m08d",,
"City_FairHavens","Fair Havens",,"m08 m08d",,"A harbor on the island of Crete, AKA Safe Harbours(Acts 27:8)"
"City_Appius","Forum Appius",,"m08d",,"Small Italian town south-east of Rome (Forum = Market); from Acts 28:15"
"City_Gaza","Gaza",,"m08",,
"City_Iconium","Iconium",,"m08 m08a m08b",,
"City_Jerusalem","Jerusalem",,"m08 m08a m08b m08c m08d",,
"City_Joppa","Joppa",,"m08",,
"City_Laodicea","Laodicea",,"m08",,
"City_Lasea","Lasea",,"m08 m08d",,
"City_Lystra","Lystra",,"m08 m08a m08b",,
"City_Miletus","Miletus",,"m08 m08c",,
"City_Myra","Myra",,"m08 m08d",,
"City_Mytelene","Mytelene",,"m08 m08c",,
"City_Nazareth","Nazareth",,"m08d",,
"City_Neapolis","Neapolis",,"m08 m08b",,
"City_Nicopolis","Nicopolis",,"m08 ",,
"City_Paphos","Paphos",,"m08 m08a",,
"City_Patara","Patara",,"m08 m08c",,
"City_Perga","Perga",,"m08 m08a",,
"City_Pergamum","Pergamum",,"m08 ",,
"City_Philadelphia","Philadelphia",,"m08 ",,
"City_Philippi","Philippi",,"m08 m08b m08c",,
"City_Phoenix","Phoenix",,"m08 m08d",,
"City_Ptolemais","Ptolemais",,"m08 m08c",,
"City_Puteoli","Puteoli",,"m08 m08d",,
"City_Rhegium","Rhegium",,"m08 m08d",,
"City_Rome","Rome",,"m08 m08d",,
"City_Salamis","Salamis",,"m08 m08a",,
"City_Salmone","Salmone",,"m08 m08d",,
"City_Sardis","Sardis",,"m08 ",,
"City_Seleucia","Seleucia",,"m08 m08a",,
"City_Sidon","Sidon",,"m08 m08d",,
"City_Smyrna","Smyrna",,"m08 ",,
"City_Syracuse","Syracuse",,"m08 m08d",,
"City_Tarsus","Tarsus",,"m08 m08b m08d",,
"City_Thessalonica","Thessalonica",,"m08 m08b m08c m08d",,
"City_ThreeInns","Three Inns",,"m08d",,"Small Italian town south-east of Rome; from Acts 28:15"
"City_Thyatira","Thyatira",,"m08 m08b",,
"City_Troas","Troas",,"m08 m08c m08d",,
"City_Tyre","Tyre",,"m08 m08c",,
,,,,,
"Region_Achaia","ACHAIA",,"m08 ",,
"Region_Arabia","ARABIA",,"m08 ",,
"Region_Armenia","ARMENIA",,"m08 ",,
"Region_Asia","ASIA",,"m08 ",,
"Region_Bithynia","BITHYNIA",,"m08 ",,
"Region_Cappadocia","CAPPADOCIA",,"m08 ",,
"Region_Cilicia","CILICIA",,"m08 ",,
"Region_Dalmatia","DALMATIA",,"m08 ",,
"Region_Egypt","EGYPT",,"m08 ",,
"Region_Galatia","GALATIA",,"m08 ",,
"Region_Illyricum","ILLYRICUM",,"m08 ",,
"Region_Italy","ITALY",,"m08 ",,
"Region_Judea","Judea",,"m08 ",,
"Region_Libya","LIBYA",,"m08 ",,
"Region_Lycia","LYCIA",,"m08 ",,
"Region_Macedonia","MACEDONIA",,"m08 ",,
"Region_Pamphylia","PAMPHYLIA",,"m08 ",,
"Region_Pisidia","PISIDIA",,"m08 ",,
"Region_Pontus","PONTUS",,"m08 ",,
"Region_Sicily","SICILY",,"m08 ",,
"Region_Syria","SYRIA",,"m08 ",,
"Region_Thrace","THRACE",,"m08 ",,
,,,,,
"Island_Chios","Chios",,"m08 ",,
"Island_Clauda","Clauda",,"m08 ",,"An island near Crete (Acts 27:16)"
"Island_Crete","Crete",,"m08 ",,
"Island_Cyprus","Cyprus",,"m08 ",,
"Island_Malta","Malta",,"m08 ",,"Paul was ship is wrecked on Malta (Acts 27:14-44)"
"Island_Patmos","Patmos",,"m08 ",,
"Island_Rhodes","Rhodes",,"m08 ",,
"Island_Samothrace","Samothrace",,"m08b",,
,,,,,
"Sea_BlackSea","BLACK SEA",,"m08 ",,
"Sea_Mediterranean","MEDITERRANEAN SEA",,"m08 m08a m08b m08c m08d",,
,,,,,
"Scale_K_Number_A",0,,"m08 m08a m08b m08c m08d",,
"Scale_K_Number_B",100,,"m08 m08a m08b m08c m08d",,
"Scale_K_Number_C",200,,"m08 m08a m08b m08c m08d",,
"Scale_K_Number_D",300,,"m08 m08a m08b m08c m08d",,
"Scale_K_Number_E",400,,"m08 m08a m08b m08c m08d",,
"Scale_K_DistanceKey","Kilometers",,"m08 m08a m08b m08c m08d",,
"Scale_M_Number_A",0,,"m08 m08a m08b m08c m08d",,
"Scale_M_Number_B",50,,"m08 m08a m08b m08c m08d",,
"Scale_M_Number_C",100,,"m08 m08a m08b m08c m08d",,
"Scale_M_Number_D",150,,"m08 m08a m08b m08c m08d",,
"Scale_M_Number_E",200,,"m08 m08a m08b m08c m08d",,
"Scale_M_DistanceKey","Miles",,"m08 m08a m08b m08c m08d",,
