"MapFileID","Value","Notes"
"Style_Title","font-size:12px;font-style:normal;font-variant:normal;font-weight:normal;font-stretch:normal;text-align:center;line-height:150%;writing-mode:lr-tb;text-anchor:middle;font-family:Gentium Book Basic",
"Style_City","font-size:10px;font-family:Gentium Book Basic",
"Style_Region","font-size:14px;fill:#934711;font-family:Gentium Book Basic",
"Style_Water","font-size:8px;fill:#007dbf;font-family:Gentium Book Basic",
"Style_Scale","font-size:6px;font-family:Gentium Book Basic",
"Title_M006_A","The Holy Land",
"Title_M006_B","in the Time of",
"Title_M006_C","Jesus Christ",
"City_Sidon","Sidon",
"City_Tyre","Tyre",
"City_Damascus","Damascus",
"City_CaesareaPhilippi","Caesarea Philippi",
"City_Chorazin","Chorazin",
"City_Capernaum","Capenaum",
"City_Bethsaida","Behtsaida",
"City_Cana","Cana",
"City_Magadan","Magadan",
"City_Tiberias","Tiberias",
"City_Gadara","Gadara",
"City_Nazareth","Nazareth",
"City_Nain","Nain",
"City_Caesarea","Caesarea",
"City_Shechem","Shechem",
"City_Sychar","Sycar",
"City_Joppa","Joppa",
"City_Arimathea","Arimathea",
"City_Emmaus","Emmaus",
"City_Jericho","Jericho",
"City_Jerusalem","Jerusalem",
"City_Bethphage","Bethphage",
"City_Bethany","Bethany",
"City_Bethlehem","Bethlehem",
"City_Gaza","Gaza",
"Region_Phoenicia","Phoenicia",
"Region_Syria","Syria",
"Region_Galilee","Galilee",
"Region_Decapolis","Decapolis",
"Region_Samaria","Samaria",
"Region_Judea","Judea",
"Water_SeaOfGalilee_A","Sea of",
"Water_SeaOfGalilee_B","Galilee",
"Water_JordanRiver","Jordan River",
"Water_DeadSea","Dead Sea",
"Water_MediterraneanSea","Mediterranian Sea",
"Water_JacobsWell","Jacob’s Well",
"Scale_Number_A",0,
"Scale_Number_B",20,
"Scale_Number_C",40,
"Scale_Number_D",60,
"Scale_Key_Kilometers","Kilometers",
