"MapPointData","Value","Note"
"City_Antioch-A","Antioch",
"City_Antioch-B","Antioch",
"City_Attalia","Attalia",
"City_Derbe","Derbe",
"City_Iconium","Iconium",
"City_Jerusalem","Jerusalem",
"City_Lystra","Lystra",
"City_Paphos","Paphos",
"City_Perga","Perga",
"City_Salamis","Salamis",
"City_Seleucia","Seleucia",
"Island_Crete","Crete",
"Island_Cyprus","Cyprus",
"Region_Pisidia","Pisidia",
"Region_Lycia","Lycia",
"Region_Pamphylia","Pamphylia",
"Region_Egypt","Egypt",
"Region_Arabia","Arabia",
"Region_Asia","Asia",
"Region_Cappadocia","Cappadocia",
"Region_Syria","Syria",
"Sea_Mediterranean","Mediterranean Sea",
"Scale_K_Number_A",0,
"Scale_K_Number_B",100,
"Scale_K_Number_C",200,
"Scale_K_Number_D",300,
"Scale_K_Number_E",400,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",0,
"Scale_M_Number_B",50,
"Scale_M_Number_C",100,
"Scale_M_Number_D",150,
"Scale_M_Number_E",200,
"Scale_M_DistanceKey","Miles",
