"MapPointData","Value","Note"

"City_Derbe","Derbe",
"City_Lystra","Lystra",
"City_Iconium","Iconium",
"City_Troas","Troas",
"City_Neapolis","Neapolis",
"City_Philipi","Philipi",
"City_Thyatira","Thyatira",
"City_Amphipolis","Amphipolis",
"City_Apollonia","Apollonia",
"City_Thessalonica","Thessalonica",
"City_Berea","Berea",
"City_Athens","Athens",
"City_Corinth","Corinth",
"City_Ephesus","Ephesus",
"City_Caesarea","Caesarea",
"City_Jerusalem","Jerusalem",
"City_Antioch-A","Antioch",

"Region_Pamphylia","PAMPHYLIA",
"Region_Cilicia","CILICIA",
"Region_Syria","SYRIA",
"Region_Phrygia","Phrygia",
"Region_Galatia","GALATIA",
"Region_Asia","ASIA",
"Region_Bithynia","BITHYNIA",
"Region_Mysia","Mysia",
"Region_Macedonia","MACEDONIA",
"Region_Achaia","ACHAIA",
"Region_Pisidia","PISIDIA",

"Island_Cyprus","Cyprus",
"Island_Samothrace","Samothrace",
"Island_Crete","Crete",

"Sea_Mediterranean","MEDITERRANEAN SEA",

"Scale_K_Number_A",0,
"Scale_K_Number_B",100,
"Scale_K_Number_C",200,
"Scale_K_Number_D",300,
"Scale_K_Number_E",400,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",0,
"Scale_M_Number_B",50,
"Scale_M_Number_C",100,
"Scale_M_Number_D",150,
"Scale_M_Number_E",200,
"Scale_M_DistanceKey","Miles",





"City_Puteoli","Puteoli",
"City_Assos","Assos",
"City_Nicopolis","Nicopolis",
"City_Mytelene","Mytelene",
"City_Pergamum","Pergamum",
"City_Antioch-B","Antioch",
"City_Smyrna","Smyrna",
"City_Sardis","Sardis",
"City_Philadelphia","Philadelphia",
"City_Rhegium","Rhegium",
"City_Laodicea","Laodicea",
"City_Colossae","Colossae",
"City_Lystra","Lystra",
"City_Derbe","Derbe",
"City_Miletus","Miletus",
"City_Attalia","Attalia",
"City_Perga","Perga",
"City_Tarsus","Tarsus",
"City_Seleucia","Seleucia",
"City_Syracuse","Syracuse",
"City_Cnidus","Cnidus",
"City_Patara","Patara",
"City_Myra","Myra",
"City_Phoenix","Phoenix",
"City_FairHavens","Fair Havens","A harbor on the island of Crete (Acts 27:8)"
"City_Lasea","Lasea",
"City_Salmone","Salmone",
"City_Sidon","Sidon",
"City_Tyre","Tyre",
"City_Damascus","Damascus",
"City_Ptolemais","Ptolemais",
"City_Joppa","Joppa",
"City_Gaza","Gaza",
"City_Alexandria","Alexandria",
"City_Paphos","Paphos",
"City_Salamis","Salamis",

"Region_Egypt","EGYPT",
"Region_Arabia","ARABIA",
"Island_Chios","Chios",
"Island_Clauda","Clauda","An island near Crete (Acts 27:16)"
"Island_Malta","Malta","Paul was ship is wrecked on Malta (Acts 27:14-44)"
"Island_Patmos","Patmos",
"Island_Rhodes","Rhodes",
"Sea_BlackSea","BLACK SEA",
