"MapPointData","Value","Note"
"Title_Main","Paul’s Fourth Missionary Journey",
"Ref_Title","Acts 21:17–28:31",
"City_Jerusalem","Jerusalem",
"City_Ephesus","Ephesus",
"City_Tarsus","Tarsus",
"City_Damascus","Damascus",
"City_Rome","Rome",
"City_Caesarea","Caesarea",
"City_Antipatris","Antipatris",
"City_Nazareth","Nazareth",
"City_Adramyttium","Adramyttium",
"City_Thessalonica","Thessalonica",
"City_Sidon","Sidon",
"City_Myra","Myra",
"City_Alexandria","Alexandria",
"City_Cnidus","Cnidus",
"City_Salmone","Salmone",
"City_FairHavens","Fair Havens","A harbor on the island of Crete, AKA Safe Harbours(Acts 27:8)"
"City_Lasea","Lasea",
"City_Phoenix","Phoenix",
"City_Syracuse","Syracuse",
"City_Rhegium","Rhegium",
"City_Puteoli","Puteoli",
"City_Appius","Forum Appius","Small Italian town south-east of Rome (Forum = Market); from Acts 28:15"
"City_ThreeInns","Three Inns","Small Italian town south-east of Rome; from Acts 28:15"
"Region_Asia","ASIA",
"Region_Cilicia","CILICIA",
"Region_Judea","Judea",
"Region_Italy","ITALY",
"Region_Macedonia","MACEDONIA",
"Region_Pamphylia","PAMPHYLIA",
"Region_Lycia","LYCIA",
"Region_Libya","LIBYA",
"Region_Arabia","ARABIA",
"Region_Egypt","EGYPT",
"Region_Sicily","SICILY",
"Region_Syria","SYRIA",
"Island_Cyprus","Cyprus",
"Island_Crete","Crete",
"Island_Clauda","Clauda","An island near Crete (Acts 27:16)"
"Island_Malta","Malta","Paul was ship is wrecked on Malta (Acts 27:14-44)"
"Sea_BlackSea","BLACK SEA",
"Sea_Mediterranean","MEDITERRANEAN SEA",
"Scale_K_Number_A",0,
"Scale_K_Number_B",100,
"Scale_K_Number_C",200,
"Scale_K_Number_D",300,
"Scale_K_Number_E",400,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",0,
"Scale_M_Number_B",50,
"Scale_M_Number_C",100,
"Scale_M_Number_D",150,
"Scale_M_Number_E",200,
"Scale_M_DistanceKey","Miles",
