"MapPointID","Value","Vernacular","MapID","BibleRef","Note"
"Title-t01_Main","The Temple in the Time of Jesus Christ",,"to1",,
"Title-t03_Main","The Tabernacle in the Wilderness",,"t03",,
"Place_Temple","The Temple itself",,"t01",,
"Key_ArkCovenant","1. The Ark of the Covenant",,"t01 t03",,
"Key_Cherubim","2. The Cherubim",,"t01 t03",,
"Key_Curtain","3. The Curtain",,"t01 t03",,
"Key_AltarIncense","4. The Altar of Incense",,"t01 t03",,
"Key_TableShowbread","5. The Table of Showbread",,"t01 t03",,
"Key_Lampstand","6. The Lampstand",,"t01 t03",,
"Key_Entrance","7. Entrance",,"t03",,
"Key_Laver","8. Laver",,"t03",,
"Key_AltarBurnedOfferings","9. Altar of Burned Offerings",,"t03",,
"Key_Gate","10.  Entrance Gate",,"t03",,
"Label_Entrance","The Entrance",,"t01",,
"Label_HolyPlace","The Holy Place",,"t01 t03",,
"Label_HolyHolies","The Holy of Holies",,"t01 t03",,
"Label_Courtyard","The Outer Courtyard",,"t03",,
"Tag_1",1,,"t01 t03",,
"Tag_2",2,,"t01 t03",,
"Tag_3",3,,"t01 t03",,
"Tag_4",4,,"t01 t03",,
"Tag_5",5,,"t01 t03",,
"Tag_6",6,,"t01 t03",,
"Tag_7",7,,"t03",,
"Tag_8",8,,"t03",,
"Tag_9",9,,"t03",,
"Tag_10",10,,"t03",,
"Tag_North","N",,"t03",,
"Tag_East","E",,"t03",,
"Tag_South","S",,"t03",,
"Tag_West","W",,"t03",,
